HPRNummer;Personnummer;Fornavn;Mellomnavn;Etternavn;Fødselsdato;Dødsdato;Kjønn;SistOppdatert;Statsborgerskap;Adresse;Postnummer;Poststed;Land
1006770;21118636586;KOLBJØRN O;;MURUGAN;1986.11.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KVÆLE;8255;RØKLAND;
1006789;25067202360;RAYMOND PETER;;ROSSEEL;1972.06.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;;PRESTHUSBAKKEN;4521;LINDESNES;
1006797;61017816771;JHAK BAHADUR;VASILIEVICH;PRANTE;1978.01.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;V/KÅRE JOHANSEN EIDSBERGV.14 1811 ASKIM;1811;ASKIM;
1006800;13045747721;GERHARD HERMANN;;BIRNEY;1957.04.13 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;JENSAVEGEN 5;5450;SUNDE I SUNNHORDLAND;
1006835;17075827067;GRY MARGARETH;;MILL;1958.07.17 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;REITANVEIEN 9;8210;FAUSKE;
1006851;45048346778;NELSON S.;;HADER;1983.04.05 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;C/O ADVOKAT STEIN CARL HALLE RÅDHUSGT. 23 0158 OSLO;0158;OSLO;
1006868;17037636967;SIMON ANDREAS;SJÅMO;HILGER;1976.03.17 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KVÆVEN;4443;TJØRHOM;
1006878;09126521852;MARTE CHRISTINA;HEIDEMANN;BAMERNI;1965.12.09 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BÅSTADVEIEN 621;1866;BÅSTAD;
1006908;16068514030;RAVNA KRISTINA;;LISICKA;1985.06.16 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;HOEMSVEGEN 22;7019;TRONDHEIM;
1006916;28036736889;JADWIGA KATARZYNA;RØSTVOLD;BERN;1967.03.28 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;PROST ANKERS GATE 51;6065;ULSTEINVIK;
1006924;31035020341;KRISTIAN VILHELM;;MOMRAK;1950.03.31 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;MOAVEGEN 42 A;2619;LILLEHAMMER;
1006932;56034606353;BO ERIK TOMMY;;DULSKI;1946.03.16 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;HEDBORNSSTIGEN 1 11259 STOCKHOLM SVERIGE;;;landkoder:SE
1006940;19108601704;CHANDRA BAHADUR;;SABAR;1986.10.19 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;EIKEVEIEN 10;5063;BERGEN;
1006959;61016844720;BJØRN STEINAR;;HAAPIAINEN;1968.01.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GESÄTERS-BERG 110 668 93 ED SVERIGE;;;
1006967;29025229051;NIGSTI AREFAINE;ADOLFSEN;BRENNEVAND;1952.02.29 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;AUNEGRENDA 7;7047;TRONDHEIM;
1006975;14127920037;KARIN INGEGÄRD;;BRYANT;1979.12.14 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;FLATØYVEGEN 126;5918;FREKHAUG;
1006983;20067337957;JAN PETTER DANIEL;GLEMMINGE;GUSSOW;1973.06.20 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;TORPAVEGEN 44;2870;DOKKA;
1006991;25074920589;ISMAEL MOHAMMED;;JANFADA-BALOO;1949.07.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;VESTVEIEN 494;3145;TJØME;
1007009;12024206783;MARTIN PER GUSTAV;;GUNTURU;1942.02.12 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SAGAVEIEN 2;1900;FETSUND;
1007017;22026802451;KRISTI JANE;;TAMS;1968.02.22 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;JERNBANEVEGEN 15;8642;FINNEIDFJORD;
1007025;11016311202;GUN INGRID;SZKUTAK;POTULSKI;1963.01.11 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;VOLLANE 6;5105;EIDSVÅG I ÅSANE;
1007033;21124348665;KRISTIN MICHELLE;;EMMERHOFF;1943.12.21 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;STOKKABEKKVEGEN 760;5420;RUBBESTADNESET;
1007041;16034919260;DAGNY MARIA;;LIUIZAITE;1949.03.16 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;;3358;NEDRE EGGEDAL;
1007068;57067626453;KJERSTI NANNA;;EILERÅS;1976.06.17 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;C/O ADVOKAT STEIN CARL HALLE RÅDHUSGT. 23 0158 OSLO;0158;OSLO;
1007084;18026419472;ODDNY ANETTE;;PAHR-IVERSEN;1964.02.18 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;POLLGATA 11;6600;SUNNDALSØRA;
1007106;24044915746;SHIR-AHMAD;;GRØNNING-SELVIK;1949.04.24 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KILSVEIEN 17 D;3766;SANNIDAL;
1007114;01037121009;MARINA ANETTE;;TENJUM;1971.03.01 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NEBBEJORDET 91;1266;OSLO;
1007130;12096705466;LUSIE;;ROUM;1967.09.12 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;HUSJORDLØKKA 26;1555;SON;
1007149;06024538972;SAVO;;AURTUN;1945.02.06 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;VESTRE GJESÅSVEG 975;2280;GJESÅSEN;
1007157;29075932950;HELGE STIG;;TIRAO;1959.07.29 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;LØKKEVEIEN 20;3050;MJØNDALEN;
1007165;24036714200;JORUNN ALFHILD;;WITASIK;1967.03.24 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;STRANDVEIEN 11;3132;HUSØYSUND;
1007173;22066505859;ELISABET INGEBORG;EGONSDATTER;CHACHULA;1965.06.22 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BRØHOLTVEIEN 55;3430;SPIKKESTAD;
1007181;23095234305;ARNOLD NICOLAI;HOLTEGARD;EWBANK;1952.09.23 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;FØRE;8470;BØ I VESTERÅLEN;
1007203;18055709676;SIVAPRIYA;GAMMELGAARD;HEGDALSAUNE;1957.05.18 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;RØYSKATTVEGEN 41;3741;SKIEN;
1007211;02068630714;TOM-IVAR;;LENS;1986.06.02 00:00:00;;kjonn:1;2014.10.20 12:22:00;;FJELLPRYDVEIEN 3;4070;RANDABERG;
1007238;02027028872;PETRA AUD;;PAUST-ANDERSEN;1970.02.02 00:00:00;;kjonn:2;2014.10.20 12:22:00;;ÅMOTVEIEN 38;0880;OSLO;
1007246;11078109167;GARD AUGUST;;SKOVBORG-SVERRESON;1981.07.11 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BEKKEGATA 11;3513;HØNEFOSS;
1007254;31035823355;GEIR THORVALD;;LERUDSMOEN;1958.03.31 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;FROGNERVEIEN 12;3121;NØTTERØY;
1007270;23036638117;MAGNE VILHELM;;KIBILDS;1966.03.23 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;STYRILIA 55 B;2080;EIDSVOLL;
1007289;56045248955;KENT MARKUS;JOONAS;SEQUAR;1952.04.16 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;STENSTRUPVEJ 46 DK 4573 HØJBY DANMARK;;;
1007319;69078728523;SEBASTIAN MARIUSZ;;HØXBRO;1987.07.29 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NORDGÅRDSGATAN 3 453 34 LYSEKIL SVERIGE;;;
1007327;06107702421;LINN-KATRINE;;REINSVOLLSVEEN;1977.10.06 00:00:00;;kjonn:2;2015.06.15 10:20:12;landkoder:NO;GARNVEIEN 52;8013;BODØ;
1007343;66128513966;MARCUS TENGEL;;MEANWELL;1985.12.26 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;UL.LAZUROWA 14 32-566 KWARZALA POLEND;;;
1007373;17116215780;ABELARDO;;EHN;1962.11.17 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SKOGTUN GEVINGBERGET 23 B;7517;HELL;
1007378;22044944549;HELGE-IVAR;;GUDBJARNASON;1949.04.22 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;JORDFALLVEIEN 47;3300;HOKKSUND;
1007386;43045943330;LANCELOT;;SVABOE;1959.04.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;C/O ALBRIGTSEN AUD JORUNN PLANETVEGEN 14 9024 TOMASJORD;9024;TOMASJORD;
1007394;04037821719;OLA SØREN;HERRØD;HELLE-TANDBERG;1978.03.04 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GORSETVEGEN 8;7340;OPPDAL;
1007408;14057505460;KAREN ELDRID;;SVARTRAPMO;1975.05.14 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;DYRE HALSES GATE 15;7042;TRONDHEIM;
1007416;27064206104;OTTO JAN;;LACHGAR;1942.06.27 00:00:00;;kjonn:1;2013.10.07 11:06:00;;BERGEVEGEN 169;2411;ELVERUM;
1007424;29104111074;SELENE;;RÅMKES;1941.10.29 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;RUNARVEIEN 6 D;3242;SANDEFJORD;
1007432;11078022193;KNUD MARTIN;;HRDLICKA;1980.07.11 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BRØNNÅSEN 29;1914;YTRE ENEBAKK;
1007459;47076646208;RITA LILL;;TØRNBLAD;1966.07.07 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;HAUGASTØL TURISTSENTER 3595 HAUGASTØL;3595;HAUGASTØL;
1007467;21115131963;EGIL KRISTEN;JEGERVATN;BØTTCHER;1951.11.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;JANABERGET 6 B;5179;GODVIK;
1007475;08087505910;KATE*GUTT;;DEMETRIA;1975.08.08 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BAGLERGATA 2 B;2004;LILLESTRØM;
1007483;19107323174;JAN SALAMON;;YNGVESSON;1973.10.19 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GRENNEGRENDA 53;7630;ÅSEN;
1007505;16125317816;JORUNN ANNA;KROKSNES;HALABI;1953.12.16 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;STRANDGATA 30;2821;GJØVIK;
1007513;17128713387;VALDIMAR;;PAVOLAS;1987.12.17 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KOBOLTVEIEN 16;4629;KRISTIANSAND S;
1007548;11035511468;EMILIA YR;;SZIKSZAY;1955.03.11 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BAKKALYKKJA 5 C;2614;LILLEHAMMER;
1007556;24024807289;TOVE ANNA MARIE;;DUVRUD;1948.02.24 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KNARTEN 29;2165;HVAM;
1007564;11076502015;SABELA;;STONKIENE;1965.07.11 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;TRYSIL-KNUTS GATE 35;4021;STAVANGER;
1007572;25124421104;CARLOS CESAR;DO CARMO;CHYTRON;1944.12.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NORDSKOT;8283;LEINESFJORD;
1007580;19036115346;WAI YAN;;MOGIS;1961.03.19 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SEMENTVEIEN 19;3300;HOKKSUND;
1007602;18035704880;MARIANNE PETRA;;ROOBARAJAHN;1957.03.18 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;DR. DEDICHENS VEI 38;0675;OSLO;
1007610;67048018162;VARG LUKAS;;HELLESEN;1980.04.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;ALIKA K HARJUMAA ESTLAND;;;
1007637;07045233647;SUSANNE TOVE;;VOITK;1952.04.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BARLAUGKLEIVA 9;3825;LUNDE;
1007645;31107304153;BOLESLOVAS;;KARACSONY;1973.10.31 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BJØRKEVEIEN 3 A;3179;ÅSGÅRDSTRAND;
1007653;31086348260;KAREN ODDVEIG;;RYTTBERG;1963.08.31 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;VESTLIA 57;1453;BJØRNEMYR;
1007661;13106621254;KINGA TERESA;;WEJLEMARK;1966.10.13 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;STENBRUDDVEIEN 4;1765;HALDEN;
1007688;03068642565;ARIN LEANDER;;MARKOS;1986.06.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SVEND FOYNS GATE 58 C;4016;STAVANGER;
1007696;17045213188;DANH VAN;;VILLACAMPA;1952.04.17 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SKIPPERGATA 63;4327;SANDNES;
1007718;11076725553;RYAN CRUZ;;RAHKONEN;1967.07.11 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NORDLIGATA 31;2870;DOKKA;
1007726;05068210137;ROINE;;STORHEIL;1982.06.05 00:00:00;;kjonn:1;2016.02.05 15:06:33;landkoder:NO;TRANBYVEIEN 19;3534;SOKNA;
1007734;09124349661;JORUNN ELSE;;JØLSUND;1943.12.09 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KVIBAKKEN 2;4365;NÆRBØ;
1007742;07056222213;IRINA NIKOLAEVNA;HYLDERÅS;KARAMAN;1962.05.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SOLHØYVEIEN 26;3080;HOLMESTRAND;
1007750;20064638638;SUKHUMAPORN;;BAADE;1946.06.20 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KLOVSTEINSVEGEN 10;4100;JØRPELAND;
1007769;19126535212;SUSAN DOROTHY;;KASU;1965.12.19 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NORVEIEN 23;4900;TVEDESTRAND;
1007777;23017146556;VALERIU DANIEL;;VASILJEVAS;1971.01.23 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GARNESSTØLEN 12;5264;GARNES;
1007785;23086417669;GUNDHILD MARIE;;SAIKEVICIUTE;1964.08.23 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;STAMHUSVEIEN 61 A;1181;OSLO;
1007808;47108307133;GARIP;LAUGEN;GUZIOLEK;1983.10.07 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;TEGLVÆNGET 5, 4 TV 9000 AALBORG DANMARK;;;
1007823;20094744912;JOHNNY YNGVAR;;IVERSEN-OTTNE;1947.09.20 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GAMLEVEGEN 2;3580;GEILO;
1007831;02015129630;TONE GUDNY;;HØGVALL;1951.01.02 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;TØMTEVEIEN 115;2013;SKJETTEN;
1007858;24038614408;ÅSEL;;BETSI;1986.03.24 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BERGSTØ 26;4790;LILLESAND;
1007866;22045410572;JIM MATTIAS;;JUNGE-JENSEN;1954.04.22 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SOGNEFJORDVEGEN 74;6863;LEIKANGER;
1007874;14067128630;INGEBJØRG SYNØVE;;JEYANANTHAN;1971.06.14 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;THORBJØRNRØDVEIEN 11;1621;GRESSVIK;
1007882;16097722904;JAMIE STEPHEN;;RINGSRUD;1977.09.16 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;UELANDS GATE 20;0175;OSLO;
1007890;16026706185;AUDUN OLE;;SMOLKOVSKIJ;1967.02.16 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;STORKENEBBVEIEN 4;0860;OSLO;
1007904;55115147322;SAHIL;;OGRE;1951.11.15 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SKÖNTORPSV. 71 II SE-120 53 ÅRSTA SVERIGE;;;
1007912;04126042359;KIM YOUNG;;DUVHOLT;1960.12.04 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;VESTRE RÅ 52 C;5239;RÅDAL;
1007920;06047913827;JINO;;PRANSKUNAITE;1979.04.06 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;ENGAN 1;7290;STØREN;
1007939;14104247807;BRITT ODDBJØRG;;GIEROS;1942.10.14 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;STOREMYR 3;5450;SUNDE I SUNNHORDLAND;
1007947;29058400538;OLA MAGNUS;TSCHUDI;REICHELT;1984.05.29 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;MICHAEL KROHNS GATE 30;5057;BERGEN;
1007955;08117517811;INGEBJØRG H;;TOMS;1975.11.08 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;APALVEIEN 14;4315;SANDNES;
1007963;26046246798;JUAN P;;LEMPART;1962.04.26 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GAMLEGATA 14;3810;GVARV;
1007979;23117929078;KJELLAUG ANNY;;BAHRI;1979.11.23 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GUSTAVA KIELLANDS GATE 2 D;4020;STAVANGER;
1007998;23025134788;TORSTEIN ODDMUND;;DEFENSOR;1951.02.23 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GÅRDSVEGEN 5;2008;FJERDINGBY;
1008005;28066201718;TOMAS O;;BORGLAND;1962.06.28 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;MYRVANGGATA 17 B;3936;PORSGRUNN;
1008013;16034641777;DONNACHA;;GAFOOR;1946.03.16 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BOGERUDVEIEN 46;0692;OSLO;
1008021;09068705182;RAJBIR;PHOONSAP;BOLA;1987.06.09 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SANDVEGEN 7;6413;MOLDE;
1008048;07124205004;LINN MIKAELA;;WOLCKMAR;1942.12.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;MOVEGEN 3;2770;JAREN;
1008056;23067202554;EINAR EDVIN;;OLLEN;1972.06.23 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;LOKKØY;8470;BØ I VESTERÅLEN;
1008064;24116831925;PASI ILARI;COX;CAPOTA;1968.11.24 00:00:00;;kjonn:1;2015.09.09 15:53:14;landkoder:NO;H0302 SINSENVEIEN 7;0572;OSLO;
1008072;18074827744;CEPONIS;;SPORKLAND;1948.07.18 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NORDRE HALLSETVEG 94;7023;TRONDHEIM;
1008080;06077345033;RØNNAUG MARIT;;BUSBY;1973.07.06 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;VESTERÅSVEIEN 13;0382;OSLO;
1008099;24064800341;TORBJØRN ARE;SANZ;ROMY;1948.06.24 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;RØYSELØKKA 13 A;3218;SANDEFJORD;
1008110;01027210011;SIDSEL JORID;;WASIR;1972.02.01 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SÆTRETUNET 6 B;3475;SÆTRE;
1008137;29047022744;RUNE ODDBJØRN;;UNES;1970.04.29 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KAIVEIEN 10;3070;SANDE I VESTFOLD;
1008145;21066511275;VIVI JOSEFINE;;SCHAKENDA;1965.06.21 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;AUSTADVEIEN 60;3034;DRAMMEN;
1008153;07105212482;SYNNØVE JØRGINE;;GHEBREMARIA;1952.10.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NILSEBRØTIN 19;2920;LEIRA I VALDRES;
1008196;09088605494;LINDA LOUISA;HOKHOLT;BASTIKO;1986.08.09 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;ROLF E.STENERSENS ALLÉ 30;0858;OSLO;
1008218;22068303781;JULIAN-ANDRÉ;;BLAZOWSKI;1983.06.22 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;DR. DEDICHENS VEI 76;0675;OSLO;
1008226;08066606474;MASTURA;;SELSØ;1966.06.08 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KJØLLEFJORD;9162;SØRSTRAUMEN;
1008234;16014106638;HEGE LIN;;WAHLEN;1941.01.16 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;PILEBAKKEN 10;3950;BREVIK;
1008250;27077405327;BEKAN;;JIM;1974.07.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;HETLANDSGATA 5;4340;BRYNE;
1008269;07118303622;THALIA;;ZABLOCKYTÉ;1983.11.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;LIJORDVEIEN 24 D;1359;EIKSMARKA;
1008277;27045047127;ERNST CHRISTER;;ELKASEVIC;1950.04.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;DYRØYVEGEN 4;6057;ELLINGSØY;
1008285;50038225186;BÅRD HALVDAN;;HASSLID;1982.03.10 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;HEDVÄGEN 2, SLÄTTBERG 794 93 ORSA SVERIGE;;;landkoder:SE
1008293;05066715495;KARI PALMA;;WASNIOWSKA;1967.06.05 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;RAKKESTADVEIEN 1048;1880;EIDSBERG;
1008307;23025716698;ELSA VICTORIA;;LOCI;1957.02.23 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NEDRE FLATÅSVEG 488;7099;FLATÅSEN;
1008315;18057837035;ELISABETH IREN;;HAIG;1978.05.18 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;HOLSHÅGÅVEGEN 59;2656;FOLLEBU;
1008323;47065822950;NILS AMUND;;SZMURLO;1958.06.07 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;MALOWA GORA 38 21-512 ZALESIE POLAND;;;
1008331;45076228403;MAHJABEEN;;VÆISÆNEN;1962.07.05 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GRÅGÅSVÄGEN 6 SE - 77152 LUDVIKA;;;landkoder:SE
1008358;14057030144;EMMANUEL D;;MATYCH;1970.05.14 00:00:00;;kjonn:1;2014.10.20 12:22:00;;KVARTSVEGEN 89;9022;KROKELVDALEN;
1008366;07036515451;NANNA-KARIN;;VIKSUND;1965.03.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SKOGSTJERNEVEIEN 4;4823;NEDENES;
1008374;12024643075;CHANCHAI;RYØ;HOUMMIRA;1946.02.12 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;TOKERUDBERGET 12;0986;OSLO;
1008382;04038411972;HANS-JÜRGEN RAINER;;CHANKO;1984.03.04 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;MARIDALSVEIEN 233 C;0467;OSLO;
1008404;27016604920;OSMAN ADEM;;STÆR-JENSEN;1966.01.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;FJELSTADVEGEN 14;2390;MOELV;
1008412;07078537757;LEIF ANSGAR;JULSHAMN;SAENZ;1985.07.07 00:00:00;;kjonn:1;2013.10.07 11:06:00;;NEDRE SKØYEN VEI 10 B;0276;OSLO;
1008420;25056211007;FRIDA VÅR;;LALIBERTE;1962.05.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;VERDANDES VEG 14;7600;LEVANGER;
1008439;11066910808;PAULINA JUSTYNA;;NARANJO;1969.06.11 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;VESTLISVINGEN 102;0969;OSLO;
1008447;05028042487;ZALINA;;KLADNUM;1980.02.05 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;ARONNESVEIEN 145;9514;ALTA;
1008471;28126715856;MIA MADELEN;;OPDAN;1967.12.28 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;ÅRHUSVEGEN 217;3721;SKIEN;
1008498;23047019664;MARGRETHE ELEONORE;;GERDI;1970.04.23 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;TORSHAUGVEIEN 8;7020;TRONDHEIM;
1008501;06014114376;JAN AGNE;;HAUGSMYR;1941.01.06 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SØNDRE GATE 20;7010;TRONDHEIM;
1008528;15064836088;ALVA OLINE;;ALSTAD-LARSEN;1948.06.15 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;MAUSETVEGEN 66;2380;BRUMUNDDAL;
1008536;25056626959;GLENN TOMAS;;SERDASHTI;1966.05.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BØRSETLAUVET 17;6620;ÅLVUNDEID;
1008544;01107125937;ALAN P;KVISLE;ODGÅRD;1971.10.01 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;FLORASVINGEN 21;1890;RAKKESTAD;
1008552;15096930426;SUI TIN MAWI;NYLØKKEN;WASSONG;1969.09.15 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;TØMMERVÅG;6590;TUSTNA;
1008560;02026302687;BJØRG ELY;;CURY;1963.02.02 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BØGATA 3;5531;HAUGESUND;
1008579;26064900330;FERDUN;SCHAUMBURG;MAHMUD;1949.06.26 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BEVERVEIEN 13;0596;OSLO;
1008587;21068441703;BRIAN ROGER;;WEGIEL;1984.06.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BLÅKLOKKEVEGEN 44;9100;KVALØYSLETTA;
1008595;26077020372;MOHAMMAD DAVOUD;;TORNQVIST;1970.07.26 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BUEGATA 9;8616;MO I RANA;
1008609;31076220886;RAZE;;ROSHOLM;1962.07.31 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;ØYENVEIEN 2;8445;MELBU;
1008617;14096247592;SCOTT MAGNUS;;NDLELA;1962.09.14 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;AVJOVARGEAIDNU 6;9730;KARASJOK;
